scorer,DLC_resnet50_wtfJun20shuffle1_800000,DLC_resnet50_wtfJun20shuffle1_800000,DLC_resnet50_wtfJun20shuffle1_800000,DLC_resnet50_wtfJun20shuffle1_800000,DLC_resnet50_wtfJun20shuffle1_800000,DLC_resnet50_wtfJun20shuffle1_800000,DLC_resnet50_wtfJun20shuffle1_800000,DLC_resnet50_wtfJun20shuffle1_800000,DLC_resnet50_wtfJun20shuffle1_800000,DLC_resnet50_wtfJun20shuffle1_800000,DLC_resnet50_wtfJun20shuffle1_800000,DLC_resnet50_wtfJun20shuffle1_800000,DLC_resnet50_wtfJun20shuffle1_800000,DLC_resnet50_wtfJun20shuffle1_800000,DLC_resnet50_wtfJun20shuffle1_800000
bodyparts,Focinho,Focinho,Focinho,OrelhaE,OrelhaE,OrelhaE,OrelhaD,OrelhaD,OrelhaD,Centro,Centro,Centro,Rabo,Rabo,Rabo
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,855.99560546875,705.021240234375,0.999160647392273,822.9598999023438,728.620361328125,0.9999850988388062,846.9140625,755.5509033203125,0.9999945163726807,781.68115234375,757.5479736328125,0.9999545812606812,728.812255859375,717.4288940429688,0.9989533424377441
1,855.99560546875,705.021240234375,0.9933639764785767,823.5533447265625,728.620361328125,0.9999377727508545,851.8795776367188,755.5509033203125,0.9999979734420776,785.0582885742188,759.3128051757812,0.999981164932251,730.1220092773438,723.5982666015625,0.9998666048049927
2,855.99560546875,705.021240234375,0.92275470495224,823.5533447265625,728.620361328125,0.999956488609314,853.7431640625,755.5509033203125,0.9996867179870605,786.7423095703125,759.9136962890625,0.9999589920043945,730.2694091796875,735.6875610351562,0.9995579123497009
3,855.8773803710938,690.0219116210938,0.978909432888031,823.5533447265625,720.1974487304688,0.9999933242797852,859.2733764648438,743.2347412109375,0.999951958656311,798.9483032226562,759.9136962890625,0.9985530972480774,737.2037353515625,749.3536376953125,0.9975212216377258
4,854.2894287109375,678.5562133789062,0.9993528723716736,820.3822021484375,715.0801391601562,0.9999922513961792,859.2733764648438,730.51416015625,0.9998782873153687,806.3546752929688,759.9136962890625,0.9998927116394043,745.0624389648438,764.9024047851562,0.9992652535438538
5,851.0369262695312,661.5712890625,0.9999936819076538,820.31591796875,699.9113159179688,0.9999889135360718,859.2733764648438,713.7249755859375,0.9999703168869019,816.8287353515625,755.2310180664062,0.9999878406524658,768.9480590820312,792.7933349609375,0.59593665599823
6,848.6096801757812,647.6915283203125,0.9999895095825195,819.7355346679688,687.9447631835938,0.9999918937683105,858.0362548828125,693.7703857421875,0.9999935626983643,825.6284790039062,750.8165283203125,0.9999450445175171,789.3905639648438,805.369873046875,0.9180737733840942
7,847.0169677734375,644.3550415039062,0.9999879598617554,819.630859375,687.9447631835938,0.9999940395355225,858.0362548828125,693.7703857421875,0.9999918937683105,827.2501831054688,749.7312622070312,0.999882698059082,800.9603881835938,813.740234375,0.9805797934532166
8,846.5574951171875,644.3550415039062,0.9999884366989136,819.5654296875,687.9447631835938,0.9999973773956299,858.0362548828125,693.7703857421875,0.9999908208847046,831.3118286132812,749.7312622070312,0.9999401569366455,807.0602416992188,817.7969360351562,0.9972643852233887
9,846.5574951171875,644.3550415039062,0.9999874830245972,819.5654296875,687.9713745117188,0.9999977350234985,858.6619873046875,694.0391845703125,0.9999788999557495,831.8112182617188,750.8165283203125,0.9999622106552124,812.7344360351562,820.3274536132812,0.9999641180038452
10,846.5574951171875,645.6438598632812,0.9999765157699585,819.630859375,689.3131103515625,0.9999995231628418,858.7344970703125,694.6461791992188,0.9999943971633911,831.8112182617188,753.987548828125,0.999990701675415,813.0026245117188,820.9052124023438,0.9999585151672363
11,846.6010131835938,645.7606201171875,0.9999945163726807,819.630859375,691.2106323242188,0.9999983310699463,858.7344970703125,694.9619750976562,0.9999920129776001,831.8112182617188,755.60205078125,0.9999970197677612,813.0026245117188,821.6439208984375,0.9999105930328369
12,846.6010131835938,645.8485717773438,0.9999734163284302,819.5654296875,691.4044189453125,0.9999992847442627,858.6619873046875,695.8477172851562,0.9999722242355347,830.685546875,755.6524047851562,0.9999790191650391,813.0026245117188,821.8322143554688,0.9999703168869019
13,846.6010131835938,645.8709106445312,0.9999815225601196,819.2994384765625,691.690673828125,0.9999991655349731,858.6619873046875,697.203369140625,0.99994957447052,830.6851806640625,755.6524047851562,0.9999922513961792,813.0026245117188,821.8322143554688,0.999957799911499
14,846.6010131835938,645.9697875976562,0.9999812841415405,819.298095703125,691.6976928710938,0.9999991655349731,857.9324951171875,697.203369140625,0.9999501705169678,830.6851806640625,756.738525390625,0.9999922513961792,811.4447631835938,821.8326416015625,0.9999580383300781
15,846.6038208007812,647.0684204101562,0.9998787641525269,819.298095703125,692.203857421875,0.999998927116394,857.9324951171875,697.2116088867188,0.9999665021896362,830.685546875,756.9913330078125,0.9999812841415405,811.4447631835938,821.8326416015625,0.9999861717224121
16,848.0581665039062,647.4466552734375,0.9999502897262573,819.298095703125,692.945556640625,0.9999991655349731,858.7704467773438,698.2266845703125,0.9999569654464722,830.857666015625,756.9913330078125,0.9999927282333374,813.143798828125,823.2633666992188,0.9999579191207886
17,848.1190185546875,647.8905639648438,0.9999337196350098,819.7293090820312,693.6541748046875,0.9999992847442627,858.8818359375,698.9885864257812,0.9998831748962402,831.1541137695312,756.9913330078125,0.9999916553497314,813.3359985351562,823.8889770507812,0.9997394680976868
18,848.8357543945312,647.9212036132812,0.9999685287475586,819.7575073242188,693.6541748046875,0.9999988079071045,859.107421875,698.9885864257812,0.999919056892395,831.2542114257812,758.6638793945312,0.9999877214431763,813.3507690429688,823.8955688476562,0.9995678067207336
19,848.8357543945312,647.9340209960938,0.9999676942825317,819.8189086914062,693.6588745117188,0.9999988079071045,859.5985717773438,699.6636962890625,0.9999173879623413,831.2631225585938,758.6766357421875,0.9999878406524658,813.6097412109375,823.91357421875,0.9995699524879456
20,848.8357543945312,648.0659790039062,0.9999643564224243,819.9364013671875,693.6588745117188,0.9999988079071045,859.8135986328125,699.666015625,0.9998347759246826,831.2631225585938,758.6766357421875,0.9999918937683105,813.3507690429688,824.2147216796875,0.999950647354126
